standard_sed: alpha_lyr_stis_005.dat

Bessell_U	0.03
Bessell_B	0.03
Bessell_V	0.03
Bessell_R	0.03
Bessell_I	0.03

2MASS_J	 0.0
2MASS_H	 0.0
2MASS_Ks 0.0

UKIRT_z  0.0
UKIRT_Y	 0.0
UKIRT_J	 0.0
UKIRT_H	 0.0
UKIRT_K  0.0
