name z ra dec
sn2001cz 0.015380 191.875708 -39.5800280
mjd flux flux_err zp band mag_sys
52097.0 33666.65743686225 1054.276672212764 27 Bessell_V BD17
52101.03 47555.41763152084 262.80094975067067 27 Bessell_V BD17
52103.97 50582.46620031138 465.8817305588487 27 Bessell_V BD17
52105.97 49476.61736816772 273.41789184891195 27 Bessell_V BD17
52112.03 41725.3511231794 499.59609178011135 27 Bessell_V BD17
52113.98 38547.835766577206 426.0464256158563 27 Bessell_V BD17
52116.98 32062.693245054674 177.1849908175291 27 Bessell_V BD17
52122.97 23746.52143651677 196.84219057267347 27 Bessell_V BD17
52127.98 19213.213114037244 336.22444159723904 27 Bessell_V BD17
52129.99 16873.298906258067 372.9811826993527 27 Bessell_V BD17
52136.99 11397.248040197486 125.96704050486883 27 Bessell_V BD17
52143.98 8356.030182312483 61.56950571008335 27 Bessell_V BD17
52150.99 6564.47501951699 108.82988872755567 27 Bessell_V BD17
52155.01 5802.297599818735 240.4851112522395 27 Bessell_V BD17
52097.0 40775.56617502127 1389.5603203283442 27 Bessell_I BD17
52101.03 47686.999810177775 570.9775494411313 27 Bessell_I BD17
52103.97 44545.1063359899 697.4685051425778 27 Bessell_I BD17
52105.97 42383.810577435026 507.48011818340336 27 Bessell_I BD17
52112.03 31131.496654470284 802.8487053347858 27 Bessell_I BD17
52113.98 27925.43841237342 565.8461441921584 27 Bessell_I BD17
52116.98 23313.098574180305 365.0266740891766 27 Bessell_I BD17
52122.97 25751.349904103143 592.9467441366156 27 Bessell_I BD17
52127.98 28261.811798101582 832.9628998055931 27 Bessell_I BD17
52129.99 29484.923138943665 977.6382406244194 27 Bessell_I BD17
52143.98 16413.45466702142 377.93376040817077 27 Bessell_I BD17
52150.99 12011.576179375816 365.08132655270936 27 Bessell_I BD17
52097.0 31915.37855100765 1087.6205483544195 27 Bessell_B BD17
52101.03 41114.97211045221 454.41946502588746 27 Bessell_B BD17
52103.97 42227.95013060568 622.2940702619431 27 Bessell_B BD17
52105.97 40775.56617502127 375.5568433319849 27 Bessell_B BD17
52112.03 29026.85610499057 588.1638942417436 27 Bessell_B BD17
52113.98 26133.64576189026 433.2595907297919 27 Bessell_B BD17
52116.98 20192.960697981223 260.3776576048828 27 Bessell_B BD17
52122.97 10529.312128434398 203.65495202988143 27 Bessell_B BD17
52127.98 6379.696226625793 411.3142160192497 27 Bessell_B BD17
52129.99 5277.156817648125 194.41764194733557 27 Bessell_B BD17
52136.99 3302.1743526707705 258.5202729235173 27 Bessell_B BD17
52143.98 2601.357256653135 98.23348162783088 27 Bessell_B BD17
52150.99 2274.0499508958956 83.77909628250771 27 Bessell_B BD17
52155.01 2242.848815869282 338.78137635145316 27 Bessell_B BD17
52097.0 40216.10443342134 1481.6160410670038 27 Bessell_R BD17
52101.03 52384.16190277907 723.7139418379543 27 Bessell_R BD17
52103.97 55667.27981509486 922.8862704223136 27 Bessell_R BD17
52105.97 54450.26528424209 702.1076672571755 27 Bessell_R BD17
52112.03 41686.93834703355 1075.0624954769428 27 Bessell_R BD17
52113.98 37844.258471709356 801.6845537938187 27 Bessell_R BD17
52116.98 32478.801876353748 538.4534762793542 27 Bessell_R BD17
52122.97 28707.805820246922 581.6990584615609 27 Bessell_R BD17
52127.98 26767.01855625896 813.5600604322871 27 Bessell_R BD17
52129.99 24934.461880978353 895.654035571917 27 Bessell_R BD17
52143.98 12393.67204820682 376.69479547468575 27 Bessell_R BD17
52150.99 8822.669282177183 251.905339942515 27 Bessell_R BD17
