sn,z,tmax,mb,dmb,dm15,dm15err,color,dcolor
SDSS6108,0.259,53674.0935669269,21.5554992818686,0.026718927101329,0.953643174431271,0.163106977657443,,
SDSS2561,0.118,53639.2619999423,19.831733424146,0.017254836639956,1.11227831126691,0.117581029714763,0.118584985260014,0.023079110381665
SDSS5737,0.393,53664.8599999055,22.2980888451551,0.083113986265735,0.69890365483046,0.152090761723175,,
SDSS5717,0.252,53664.1996599189,21.3549473559434,0.034972650753392,0.783411198731329,0.072094667252036,,
SDSS9032,0.254,53689.0020119302,21.3614310039058,0.066166816079499,,,,
SDSS3901,0.063,53658.0839999287,17.9561718487118,0.020988121677182,1.10202240969201,0.022717501626463,-0.099249366744886,0.04748404140894
SDSS5103,0.146,53652.7339999401,20.3453832516309,0.024186174316528,1.04958269374648,0.039300607640716,-0.033935385559907,0.035667727355171
SDSS6780,0.202,53667.1530539225,21.1172792070403,0.040309944535001,1.5034674816137,0.282227326558287,0.095242758291754,0.055805738001646
SDSS2533,0.34,53639.6081799367,21.7398172325306,0.049424782016167,0.770333669156244,0.141875394446233,,
SDSS5395,0.117,53662.4497159257,19.4710542772355,0.025798068648572,0.763055637993432,0.030986335823865,0.057646113376343,0.033960528729813
SDSS1032,0.13,53626.7989999644,20.3649575417714,0.03208790174878,1.87181428819992,0.098605078631581,0.118588890601572,0.050552412493048
SDSS3377,0.245,53646.089584933,20.7650768637416,0.027848572822154,0.955995478675618,0.041931140545429,,
SDSS5549,0.121,53664.7337179327,19.6220366677187,0.016557368689674,1.00693797797992,0.041501007518275,0.005370114644109,0.02214490623576
SDSS6773,0.09,53677.2949999272,18.6899964741358,0.017717617433716,0.751817518013276,0.090956017489939,-0.062423690658029,0.024780565232573
SDSS10434,0.104,53695.5749999264,19.1965488055895,0.040469926863337,,,-0.07428532781671,0.054598420844243
SDSS7779,0.381,53675.9990039239,21.8794851337809,0.043614818549997,0.919594535061108,0.128869881757631,,
SDSS3199,0.251,53647.6291019145,21.5117061959237,0.045849721411813,0.956913938656669,0.061417151862653,,
SDSS8495,0.214,53687.932833922,20.7973345300716,0.06244283988138,,,-0.046799720477409,0.090561067479527
SDSS3256,0.108,53653.3750679327,19.5712418744788,0.054273406162814,1.32857036941567,0.065907720098727,0.043192511716654,0.075192487873672
