sn,z,tmax,mb,dmb,dm15,dm15err,color,dcolor
sn1996bl,0.036,50374.0746559931,16.7535964284936,0.013971966389775,0.781257622270324,0.026640187520952,-0.028873577391615,0.018060643651915
sn2000cn,0.023493,51706.6269977954,16.5975801043611,0.038420039543212,1.53840225852418,0.359492158189921,0.067097311015708,0.056077396843178
sn2005ms,0.025204,53742.4562832128,16.1625395479411,0.017994457482371,0.7449462734848,0.085521355780798,-0.045582241186217,0.02491405858808
sn2006sr,0.02414,54092.715999991,16.1856308142764,0.011952678430033,1.10581800182176,0.031791268883885,,
sn2005eq,0.028977,53654.0403459443,16.3305786060411,0.028000196860927,0.805471076415465,0.03704851147403,0.057735871118467,0.036363684507004
sn2007qe,0.024,54428.4769999685,16.024672280258,0.012555594376127,0.960602003413804,0.037645704729522,0.001517219747733,0.016866337485654
sn2005iq,0.034044,53687.3139999819,16.7536717170023,0.013984911588286,1.27222724343735,0.020707989945031,-0.128239572522965,0.022381588424728
sn2002ha,0.014046,52581.3219999858,14.7352220402171,0.021131597312379,1.32115508681667,0.052313613218806,-0.071074363035351,0.029761177655646
sn2001bt,0.01464,52063.2949999725,15.3101820705237,0.011826613247614,1.21867966724205,0.021545112675319,0.147085147602304,0.014777376230125
sn2006ob,0.059238,54063.3721633488,18.2394871643335,0.017170729647984,1.71538278944438,0.069754716387592,-0.025409097095583,0.023356631972226
sn2007bd,0.031018,54205.7167632178,16.5724710531451,0.016051224324801,1.20692105518184,0.320017728387808,-0.045229160763313,0.020745006390922
sn1992bo,0.018509,48986.2189999722,15.7725591162762,0.013575475155693,1.64784341093245,0.084985654441443,-0.018371649281271,0.018447125583723
sn2006ax,0.016738,53826.6419999605,14.9995272146324,0.010687534706614,1.01991623541666,0.014925899590238,-0.1137756694365,0.01665589348358
sn2006bt,0.032156,53856.3438835076,16.9550594063535,0.13473707164549,0.953128099959137,0.150771936841336,0.087841411400007,0.167938499458644
sn2006mp,0.023016,54053.6135952553,15.9833687978587,0.021007775128171,,,0.016641005570328,0.026644902548164
sn2007f,0.02359,54123.3729999731,15.8758941096703,0.01659147037181,0.926167937320919,0.024022381086891,-0.038744092959405,0.020604962501886
sn2006gr,0.034597,54012.524132108,16.988603137437,0.019896746969777,0.924972570691168,0.199518673516749,0.065257141520093,0.023609216853861
sn1999aw,0.038,51253.5349999853,16.7501536070637,0.015293133636583,0.731165392309755,0.033239146189272,-0.036733378441653,0.026345634391007
sn2006az,0.030935,53826.2759999795,16.4839449204878,0.016264978352029,1.27519488562084,0.136781996521928,-0.097471070020056,0.023841078376173
sn2005el,0.01491,53646.8117115393,14.9011207832541,0.022734046636433,1.34717396327427,0.107754379681342,-0.028638400253833,0.027862549661219
sn2002de,0.028116,52433.6979999811,16.6732693099588,0.015846738857204,,,0.14000014193234,0.020131237051203
sn2007ci,0.018126,54246.2741446873,15.9336458960153,0.051713720252528,1.73424739355978,0.08431060596886,0.003599866985134,0.060348337993091
sn1999ao,0.0539,51247.3662199949,17.9567565248218,0.017298750715873,1.37980827525715,0.040175000660314,0.016853419200253,0.02329185640005
sn2002he,0.024564,52586.4420164472,16.3503839407637,0.124046707935275,1.38979527090205,0.131802803857242,0.127493919536974,0.154263932705281
sn2006bh,0.0109,53833.2279999834,14.3560130616929,0.016602163528175,1.46557959152849,0.022044712309662,-0.059168490302206,0.02663556397733
sn2006qo,0.029704,54082.9104161298,16.8409162104383,0.020604114426399,1.02394067442201,0.042652423562724,0.171273353043908,0.025963653933111
sn1997do,0.01012,50765.9374628995,14.3292430993519,0.086141233098947,1.12494138549807,0.088932616932538,0.001372057262479,0.117592493868308
sn2004gs,0.0267,53355.8059999881,17.1528218036128,0.019466028301266,1.6246281670855,0.035603060169556,0.095060909739651,0.028412895697555
sn1999dk,0.01496,51415.8201715123,14.8543572141739,0.019368749122295,1.11522209835899,0.132880159543494,0.038628740579874,0.036928676060602
sn1995ac,0.049902,49990.6689411899,17.1077505159589,0.015621427739744,0.701785239427629,0.021211962774352,-0.092615267573137,0.022405704538805
sn2007cq,0.025918,54280.2999999799,15.8743609040207,0.031413784819469,1.12100975294605,0.166228630102967,0.004729241345217,0.037055187497567
sn1999bp,0.077,51263.655634989,18.3935317067217,0.038543791033821,1.03906801683363,0.193606850668421,-0.1079087039288,0.056780796268903
sn1990af,0.0503,48195.4149999886,17.8039076086193,0.009008472606911,1.54606281081909,0.067507965877526,,
sn2006cp,0.022289,53896.4389999613,15.9663854282096,0.027005830142877,0.830354668760727,0.345127207773437,0.019880532379482,0.032261451218435
sn2004ey,0.0158,53303.6929999702,14.7617912296405,0.012637427779604,0.988429461680099,0.04267204491317,-0.117019257983159,0.01973595756201
sn2007co,0.026962,54264.4209999827,16.4734526247491,0.009748464206955,1.12380930460451,0.036569412804011,0.01961138492301,0.01347704544699
sn2006an,0.064001,53795.0341837027,18.2742965292363,0.026216735432666,1.51685622928473,0.335815379873506,0.152981530853431,0.032689184371366
sn2005na,0.026322,53738.8929999976,15.9782095007435,0.008503552602695,0.917342562235895,0.012544651791614,-0.135440539084819,0.013206172046432
sn2007bc,0.020771,54198.8689999945,15.8735034679501,0.015495659588955,1.21025951638262,0.048012223325403,-0.09440368629398,0.021181884671913
sn2006s,0.032102,53769.7132822989,16.8191488204107,0.016500393889745,0.962036974054492,0.050799824527219,0.030079129747634,0.021343304472115
sn2005lz,0.040998,53735.6889999816,17.6138044411201,0.018339578223126,1.40067995178239,0.225497764012615,0.04355009901122,0.025063328542039
sn2004eo,0.015701,53278.3189999655,15.1329238861213,0.011636622723829,1.37892732407587,0.018083432152601,0.031556060146677,0.016592169866438
sn2003u,0.028341,52673.5789999895,16.6272705755404,0.012931156213506,,,-0.026485472899672,0.017014860123596
sn2008bf,0.021275,54554.9729999808,15.7556285478584,0.022927718090406,1.04411665461966,0.085559879048556,0.049256864820237,0.030327005217363
sn2001cz,0.01538,52103.3659999781,15.1073192040151,0.009097908779464,0.954237057177622,0.024293987887178,0.100017280384598,0.011792362602695
sn1998ab,0.027132,50915.3979999688,16.2147993422711,0.039747028318979,1.17793054749055,0.042551934052898,0.0343005347952,0.050667999803553
sn2006ar,0.022539,53812.1989999696,16.4240522979757,0.023457596361545,,,0.054814084149882,0.026071818241666
sn2000ca,0.023616,51665.9868460138,15.6572823160817,0.026276345066114,0.926751066939403,0.033543205038679,-0.023511633922155,0.035898022454557
sn2001ba,0.02942,52033.3509999888,16.2484571881652,0.007763209531742,0.941964367806065,0.014077525549447,-0.103667833796386,0.012775601187911
sn2003w,0.020071,52679.6871287277,15.8821805652349,0.011225405678381,1.14260402743083,0.056952874159149,0.129250820178022,0.015022987118082
sn2005kc,0.01512,53697.5109999639,15.579303953463,0.012674745372349,1.24600115932751,0.019275635512025,0.166530150946599,0.016965239096011
sn1994s,0.015177,49518.4669999819,14.7868211327459,0.021884485183435,0.979672028789658,0.156712549226947,-0.042895165597948,0.030031781257293
sn1992al,0.014615,48838.0869999804,14.4936129744298,0.014763629740445,1.1061293038787,0.028807180328597,,
sn2003fa,0.039361,52807.9860217012,16.755234329573,0.065022197266183,0.900887267958552,0.069719645074812,0.034907907116413,0.078874674119866
sn2002dp,0.011638,52450.3225504461,14.6131359191774,0.021625735853376,1.07176978909625,0.049717022874926,0.112456226914738,0.02537055516439
sn2006ac,0.023106,53781.3339999868,16.2377826647299,0.02613190429778,1.15375297495414,0.130120890938715,0.151967774181664,0.03298659332408
sn2002hu,0.038,52591.5709999852,16.6283774305273,0.015463597232105,0.980545674649669,0.045437695296771,-0.099696016693095,0.022606467202454
sn2001ep,0.013012,52199.671999989,14.906576522457,0.012125334463049,1.20299452450936,0.153970099077581,0.063780498560071,0.014583365328236
sn2006oa,0.060002,54064.9041425193,17.9410097851406,0.036706304343947,0.671130658232535,0.080111918973568,0.01517620799666,0.044710181923126
sn2004as,0.031021,53086.8409999777,16.9541631185726,0.031412783289415,0.654296590794679,0.195834470887467,0.064591054409355,0.035390236340929
sn1992bc,0.0202,48912.028726564,15.1268328895308,0.013157157128046,0.829785350976273,0.037503423001292,-0.070475297898149,0.019198062469551
sn1993o,0.051,49133.8549539782,17.6266124202634,0.014023197762904,1.21821396432278,0.027509518877499,-0.162346596582381,0.023928459464509
sn1997e,0.013539,50467.7429999886,15.1841673584772,0.010487844377684,1.40360116577296,0.044966720145577,0.03494837261033,0.013369026900639
sn2005ki,0.019607,53704.7309999678,15.5661906838418,0.011468207003006,1.28619003906417,0.015581114917183,-0.064102369450069,0.017583595912226
sn2000dk,0.017442,51812.0109999841,15.3789675119784,0.011341803331154,1.63926567687302,0.159434608880858,-0.015834134464299,0.014514209372514
sn1998ef,0.017742,51115.3738580322,14.7243670253932,0.138930416043965,1.37121378363931,0.506418759744361,-0.229478661411939,0.22180511304248
sn1999cc,0.031328,51314.8309999914,16.784447204717,0.008930703925974,1.37662029449029,0.284381553570712,0.001001224939408,0.01162116971479
