sn,z,tmax,mb,dmb,dm15,dm15err,color,dcolor
03D1ax,0.496,52915.8994079436,22.9647606925053,0.009334693607778,1.31058176446442,0.106551348213793,-0.052747540046632,0.016454480870011
03D1co,0.679,52953.1978479144,24.0390875793703,0.072861863537265,0.92717832432794,0.139396733102899,,
03D4fd,0.791,52939.8869999979,24.2372793006099,0.029525859947015,,,,
03D1bk,0.865,52924.7672249007,24.4885188999317,0.145384839718139,0.99645227543904,0.232599710012514,,
03D4cj,0.27,52889.0766599525,21.0187871265862,0.035002339429174,0.916102196202488,0.036701574663169,-0.09979135299465,0.043356244653941
03D4dh,0.627,52905.6661218981,23.3444137776679,0.036025493848197,0.969292343451983,0.191640462393118,,
03D4dy,0.61,52904.3049998906,23.2235425621227,0.027176442657472,0.890874310561124,0.064679583750151,,
03D1au,0.5043,52908.8619294091,22.9881223746312,0.012650899247526,0.866283674409843,0.032013525466486,0.017716719548702,0.028957159575086
03D4gl,0.571,52952.5298799219,23.2495189054623,0.067339715315469,,,,
03D4gf,0.58,52936.4055199075,23.310774178061,0.020611626223399,,,,
03D1dt,0.612,52962.8310238921,23.2885662291205,0.017758949015876,0.730003217596007,0.389342436822683,,
03D4ag,0.285,52831.2107449417,21.5121179456742,0.606166373779467,0.732257620542633,0.608231318439456,-0.094841845512207,0.876358133496026
03D4di,0.899,52903.147999898,24.2859691590514,0.076305004664549,1.180448263049,0.211762689317903,,
03D1bp,0.347,52920.6196599301,22.4818798185814,0.060497503886901,1.27748532671851,0.078287908331911,0.029525720185568,0.126239538230578
